artist,title,musicChart,year/decade
Pitbull,Don't Stop the Party,Itunes,2010-2020
P!nk,Walk Me Home,Itunes,2010-2020
The Chainsmokers,Paris,Itunes,2010-2020
Avicii & Nicky Romero,I Could Be the One,Itunes,2010-2020
Kings of Leon,Use Somebody,Itunes,2010-2020
Iggy Azalea,Black Widow ft. Rita Ora,Itunes,2010-2020
Coldplay & Rihanna,Princess of China,Itunes,2010-2020
Martin Garrix & Bebe Rexha,In the Name of Love,Itunes,2010-2020
David Guetta & Showtek,Bad,Itunes,2010-2020
Pedro Capó & Farruko,Calma,Itunes,2010-2020
Swedish House Mafia,Save the World,Itunes,2010-2020
Dvbbs & Borgeous,Tsunami,Itunes,2010-2020
Olly Murs,Troublemaker,Itunes,2010-2020
Edward Maya,Stereo Love,Itunes,2010-2020
Ellie Goulding,Lights,Itunes,2010-2020
Carly Rae Jepsen,I Really Like You,Itunes,2010-2020
Jonas Blue,Rise,Itunes,2010-2020
Zedd,Clarity,Itunes,2010-2020
"benny blanco, Halsey & Khalid",Eastside,Itunes,2010-2020
Mabel,Don't Call Me Up,Itunes,2010-2020
One Direction,Steal My Girl,Itunes,2010-2020
Rihanna,Man Down,Itunes,2010-2020
Ella Henderson,Ghost,Itunes,2010-2020
American Authors,Best Day of My Life,Itunes,2010-2020
Post Malone,Better Now,Itunes,2010-2020
One Direction,Live While We're Young,Itunes,2010-2020
Lil Wayne,Sucker For Pain,Itunes,2010-2020
The Script,Superheroes,Itunes,2010-2020
Liam Payne,Strip That Down,Itunes,2010-2020
Jason Derülo,Don't Wanna Go Home,Itunes,2010-2020
Ylvis,The Fox,Itunes,2010-2020
Armin van Buuren,This Is What It Feels Like,Itunes,2010-2020
Meduza,Piece Of Your Heart,Itunes,2010-2020
Elle King,Ex's & Oh's,Itunes,2010-2020
David Guetta,2U,Itunes,2010-2020
Rihanna,California King Bed,Itunes,2010-2020
Journey,Don't Stop Believin',Itunes,2010-2020
twenty one pilots,Ride,Itunes,2010-2020
Iggy Azalea & Charli XCX,Fancy,Itunes,2010-2020
2 Chainz & Wiz Khalifa,We Own It,Itunes,2010-2020
Emeli Sandé,Next to Me,Itunes,2010-2020
Helene Fischer,Atemlos durch die Nacht,Itunes,2010-2020
Mumford & Sons,I Will Wait,Itunes,2010-2020
OneRepublic,Good Life,Itunes,2010-2020
Indila,Dernière danse,Itunes,2010-2020
DJ Snake,Middle,Itunes,2010-2020
Dua Lipa,IDGAF,Itunes,2010-2020
Ofenbach & Nick Waterhouse,Katchi,Itunes,2010-2020
Loren Allred,Never Enough,Itunes,2010-2020
Lady GaGa,Judas,Itunes,2010-2020
P!nk,Blow Me,Itunes,2010-2020
Meghan Trainor,NO,Itunes,2010-2020
Robin Schulz,Sun Goes Down,Itunes,2010-2020
Sunrise Avenue,Hollywood Hills,Itunes,2010-2020
Flo Rida,My House,Itunes,2010-2020
Bad Meets Evil,Lighters,Itunes,2010-2020
Katy Perry,Part of Me,Itunes,2010-2020
Ke$ha,TiK ToK,Itunes,2010-2020
The Avener,Fade Out Lines,Itunes,2010-2020
Shakira,Rabiosa,Itunes,2010-2020
Romeo Santos,Propuesta Indecente,Itunes,2010-2020
One Direction,Perfect,Itunes,2010-2020
Rae Sremmurd,Black Beatles ft. Gucci Mane,Itunes,2010-2020
Jennifer Lopez,Ain't Your Mama,Itunes,2010-2020
Axwell Λ Ingrosso,More Than You Know,Itunes,2010-2020
Tinie Tempah,Written In the Stars,Itunes,2010-2020
Pitbull,We Are One,Itunes,2010-2020
Adam Lambert,Ghost Town,Itunes,2010-2020
Eminem,Not Afraid,Itunes,2010-2020
David Guetta,Little Bad Girl,Itunes,2010-2020
Rihanna,Bitch Better Have My Money,Itunes,2010-2020
P!NK,Just Like Fire,Itunes,2010-2020
Taylor Swift,ME,Itunes,2010-2020
Ava Max,So Am I,Itunes,2010-2020
Baauer,Harlem Shake,Itunes,2010-2020
Ac/Dc,Thunderstruck,Itunes,2010-2020
James Bay,Let It Go,Itunes,2010-2020
Dennis Lloyd,Nevermind,Itunes,2010-2020
Alvaro Soler,Sofia,Itunes,2010-2020
Martin Garrix & Dua Lipa,Scared to Be Lonely,Itunes,2010-2020
Madcon,Don't Worry,Itunes,2010-2020
Selena Gomez,Good For You,Itunes,2010-2020
Beyoncé,Halo,Itunes,2010-2020
Alan Walker,Alone,Itunes,2010-2020
Rita Ora,Your Song,Itunes,2010-2020
Usher,Scream,Itunes,2010-2020
Ariana Grande,Into You,Itunes,2010-2020
Coldplay,The Scientist,Itunes,2010-2020
Flo Rida,GDFR,Itunes,2010-2020
Survivor,Eye of the Tiger,Itunes,2010-2020
Lukas Graham,Love Someone,Itunes,2010-2020
Travie McCoy,Billionaire,Itunes,2010-2020
Matt Simons,Catch & Release,Itunes,2010-2020
James Blunt,Stay the Night,Itunes,2010-2020
Taylor Swift,You Need To Calm Down,Itunes,2010-2020
Rita Ora,Let You Love Me,Itunes,2010-2020
Klangkarussell,Sonnentanz,Itunes,2010-2020
Alesso,Heroes,Itunes,2010-2020
Katy Perry,The One That Got Away,Itunes,2010-2020
P!nk,A Million Dreams,Itunes,2010-2020
米津玄師,Lemon,Itunes,2010-2020
Meghan Trainor,Dear Future Husband,Itunes,2010-2020
Imany,You Will Never Know,Itunes,2010-2020
Shakira,Chantaje,Itunes,2010-2020
Years & Years,King,Itunes,2010-2020
Ed Sheeran & Andrea Bocelli,Perfect Symphony,Itunes,2010-2020
Lauv,I Like Me Better,Itunes,2010-2020
"Ariana Grande, The Weeknd",Love Me Harder,Itunes,2010-2020
Drake,Take Care,Itunes,2010-2020
Ne-Yo,Let Me Love You,Itunes,2010-2020
Kendrick Lamar,HUMBLE.,Itunes,2010-2020
"Carlos Vives, Shakira",La Bicicleta,Itunes,2010-2020
One Direction,Best Song Ever,Itunes,2010-2020
Katy Perry,Unconditionally,Itunes,2010-2020
David Guetta,Sexy Bitch,Itunes,2010-2020
P!nk,Beautiful Trauma,Itunes,2010-2020
Anne-Marie,2002,Itunes,2010-2020
Maroon 5,Daylight,Itunes,2010-2020
U2,Ordinary Love,Itunes,2010-2020
Beyoncé,Run the World,Itunes,2010-2020
Queen,We Will Rock You,Itunes,2010-2020
Alvaro Soler,La Cintura,Itunes,2010-2020
Robbie Williams,Candy,Itunes,2010-2020
Drake,Too Good,Itunes,2010-2020
Britney Spears,I Wanna Go,Itunes,2010-2020
Macklemore & Ryan Lewis,Same Love,Itunes,2010-2020
Bruno Mars,Finesse,Itunes,2010-2020
Katy Perry,Hot N Cold,Itunes,2010-2020
Birdy,People Help the People,Itunes,2010-2020
LSD,Thunderclouds,Itunes,2010-2020
Robin Schulz,OK,Itunes,2010-2020
Nicky Jam,Travesuras,Itunes,2010-2020
Selena Gomez,Hands To Myself,Itunes,2010-2020
Wisin & Yandel,Algo Me Gusta de Ti,Itunes,2010-2020
Avril Lavigne,What the Hell,Itunes,2010-2020
Khalid,Young Dumb & Broke,Itunes,2010-2020
Selena Gomez,Back to You,Itunes,2010-2020
Shawn Mendes,Mercy,Itunes,2010-2020
Post Malone,Wow.,Itunes,2010-2020
Ricardo Arjona,Fuiste Tú,Itunes,2010-2020
G-Eazy & Bebe Rexha,"Me, Myself & I",Itunes,2010-2020
Disclosure,Latch,Itunes,2010-2020
Jason Derülo,Trumpets,Itunes,2010-2020
Jennifer Lopez,I'm Into You,Itunes,2010-2020
Alex Clare,Too Close,Itunes,2010-2020
Ellie Goulding,On My Mind,Itunes,2010-2020
Calvin Harris,Slide,Itunes,2010-2020
Sam Smith,How Do You Sleep?,Itunes,2010-2020
Alan Walker,Sing Me to Sleep,Itunes,2010-2020
"Billie Eilish, Khalid",lovely,Itunes,2010-2020
Andreas Gabalier,Hulapalu,Itunes,2010-2020
"Fergie, Q-Tip & GoonRock",A Little Party Never Killed Nobody,Itunes,2010-2020
George Ezra,Paradise,Itunes,2010-2020
The Chainsmokers,#Selfie,Itunes,2010-2020
Duke Dumont,I Got U,Itunes,2010-2020
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,Itunes,2010-2020
Lana Del Rey,Born to Die,Itunes,2010-2020
Jess Glynne,Hold My Hand,Itunes,2010-2020
cItunes,2010-2020
Inna,Sun Is Up,Itunes,2010-2020
Zara Larsson & MNEK,Never Forget You,Itunes,2010-2020
Beyoncé,Hold Up,Itunes,2010-2020
Taylor Swift,Lover,Itunes,2010-2020
Billie Eilish,bury a friend,Itunes,2010-2020
Linkin Park,BURN IT DOWN,Itunes,2010-2020
Florence + The Machine,Spectrum,Itunes,2010-2020
Deorro & Chris Brown,Five More Hours,Itunes,2010-2020
David Guetta,This One's For You,Itunes,2010-2020
Queen,Don't Stop Me Now,Itunes,2010-2020
Alessia Cara,Scars to Your Beautiful,Itunes,2010-2020
Cobra Starship,You Make Me Feel...,Itunes,2010-2020
Billie Eilish,everything i wanted,Itunes,2010-2020
Galantis,Runaway,Itunes,2010-2020
Kygo & Imagine Dragons,Born to Be Yours,Itunes,2010-2020
Galantis,No Money,Itunes,2010-2020
Guns N' Roses,Sweet Child o' Mine,Itunes,2010-2020
Zhu,Faded,Itunes,2010-2020
Avicii,SOS,Itunes,2010-2020
Take That,The Flood,Itunes,2010-2020
The Black Eyed Peas,Don't Stop the Party,Itunes,2010-2020
Zac Efron & Zendaya,Rewrite the Stars,Itunes,2010-2020
Selena Gomez,The Heart Wants What It Wants,Itunes,2010-2020
Bruno Mars,Versace on the Floor,Itunes,2010-2020
Mohombi,Bumpy Ride,Itunes,2010-2020
Selena Gomez,Same Old Love,Itunes,2010-2020
Shawn Mendes,If I Can't Have You,Itunes,2010-2020
James Blunt,Bonfire Heart,Itunes,2010-2020
Mike Perry,The Ocean,Itunes,2010-2020
Ed Sheeran,Lego House,Itunes,2010-2020
Katy Perry,Swish Swish,Itunes,2010-2020
Little Mix,Secret Love Song,Itunes,2010-2020
Hailee Steinfeld & Grey,Starving,Itunes,2010-2020
One Direction,One Thing,Itunes,2010-2020
Britney Spears,Work Bitch,Itunes,2010-2020
Post Malone,Psycho ft. Ty Dolla $ign,Itunes,2010-2020
Chris Stapleton,Tennessee Whiskey,Itunes,2010-2020
Avicii,Without You,Itunes,2010-2020
Taylor Swift,...Ready For It,Itunes,2010-2020
Britney Spears,Hold It Against Me,Itunes,2010-2020
Beyoncé,Best Thing I Never Had,Itunes,2010-2020
Shakira,Try Everything,Itunes,2010-2020
"The Weeknd, Kendrick Lamar",Pray For Me,Itunes,2010-2020
Blanco Brown,The Git Up,Itunes,2010-2020
Carlos Vives,Volví a Nacer,Itunes,2010-2020
Ed Sheeran,Happier,Itunes,2010-2020
Alicia Keys,"Empire State of Mind, Pt. 2",Itunes,2010-2020
Arctic Monkeys,Do I Wanna Know?,Itunes,2010-2020
Flo Rida,"I Don't Like It, I Love It",Itunes,2010-2020
Ellie Goulding,Still Falling for You,Itunes,2010-2020
Simple Plan,Summer Paradise,Itunes,2010-2020
Pharrell Williams,Freedom,Itunes,2010-2020
Billie Eilish,when the party's over,Itunes,2010-2020
Eminem,Berzerk,Itunes,2010-2020
Bruno Mars,Count On Me,Itunes,2010-2020
Gente de Zona,La Gozadera,Itunes,2010-2020
Olly Murs,Up,Itunes,2010-2020
The Wanted,Chasing the Sun,Itunes,2010-2020
Triggerfinger,I Follow Rivers,Itunes,2010-2020
Nicki Minaj,Anaconda,Itunes,2010-2020
G-Eazy & Halsey,Him & I,Itunes,2010-2020
X Ambassadors,Renegades,Itunes,2010-2020
LMFAO,Champagne Showers ft. Natalia Kills,Itunes,2010-2020
Jax Jones,Breathe,Itunes,2010-2020
Dr. Dre,I Need a Doctor,Itunes,2010-2020
James Morrison,I Won't Let You Go,Itunes,2010-2020
The Weeknd,Blinding Lights,Itunes,2010-2020
Adele,All I Ask,Itunes,2010-2020
James Newton Howard,The Hanging Tree,Itunes,2010-2020
Marlon Roudette,New Age,Itunes,2010-2020
Beyoncé,Love On Top,Itunes,2010-2020
ADELE,Make You Feel My Love,Itunes,2010-2020
Swedish House Mafia,One,Itunes,2010-2020
Enrique Iglesias,Loco,Itunes,2010-2020
Route 94,My Love,Itunes,2010-2020
The Killers,Human,Itunes,2010-2020
Ariana Grande,Dangerous Woman,Itunes,2010-2020
Beyoncé,Formation,Itunes,2010-2020
Tom Odell,Another Love,Itunes,2010-2020
Aloe Blacc,The Man,Itunes,2010-2020
Sam Hunt,Body Like a Back Road,Itunes,2010-2020
Sigma,Nobody to Love,Itunes,2010-2020
Michael Jackson,Hold My Hand,Itunes,2010-2020
Demi Lovato,Sorry Not Sorry,Itunes,2010-2020
Selena Gomez,Lose You to Love Me,Itunes,2010-2020
Florence + The Machine,Dog Days Are Over,Itunes,2010-2020
Jonas Brothers,Only Human,Itunes,2010-2020
Gossip,Heavy Cross,Itunes,2010-2020
Meghan Trainor,Me Too,Itunes,2010-2020
Swedish House Mafia,Greyhound,Itunes,2010-2020
LMFAO,Sorry for Party Rocking,Itunes,2010-2020
Amy Macdonald,This Is the Life,Itunes,2010-2020
J Balvin,Ginza,Itunes,2010-2020
Khaled,C'est la vie,Itunes,2010-2020
NF,Let You Down,Itunes,2010-2020
Macklemore & Ryan Lewis,Downtown,Itunes,2010-2020
Bebe Rexha & Florida Georgia Line,Meant to Be,Itunes,2010-2020
Nickelback,When We Stand Together,Itunes,2010-2020
Jason Derülo,It Girl,Itunes,2010-2020
Pitbull,Time of Our Lives,Itunes,2010-2020
"Kendrick Lamar, SZA",All The Stars,Itunes,2010-2020
Major Lazer,Watch Out For This,Itunes,2010-2020
Madonna,Give Me All Your Luvin',Itunes,2010-2020
Stromae,Formidable,Itunes,2010-2020
Starley,Call on Me,Itunes,2010-2020
Maroon 5,Cold,Itunes,2010-2020
Birdy,Wings,Itunes,2010-2020
Chris Brown,Turn Up the Music,Itunes,2010-2020
Bad Wolves,Zombie,Itunes,2010-2020
Lorde,Green Light,Itunes,2010-2020
Selena Gomez,Slow Down,Itunes,2010-2020
Freya Ridings,Castles,Itunes,2010-2020
Anna Naklab,Supergirl,Itunes,2010-2020
Sean Paul,No Lie,Itunes,2010-2020
John Legend,Love Me Now,Itunes,2010-2020
David Guetta,When Love Takes Over,Itunes,2010-2020
Lizzo,Good as Hell,Itunes,2010-2020
Pentatonix,Hallelujah,Itunes,2010-2020
Nicki Minaj,Pound the Alarm,Itunes,2010-2020
Robin Schulz,Headlights,Itunes,2010-2020
Niall Horan,This Town,Itunes,2010-2020
Adam Levine,Lost Stars,Itunes,2010-2020
Fonseca,Eres Mi Sueño,Itunes,2010-2020
One Direction,Night Changes,Itunes,2010-2020
Rudimental,Feel the Love,Itunes,2010-2020
Jason Derülo,The Other Side,Itunes,2010-2020
Cheat Codes,No Promises,Itunes,2010-2020
Snow Patrol,Called Out In the Dark,Itunes,2010-2020
Alejandro Fernández,Hoy Tengo Ganas De Ti,Itunes,2010-2020
Sigala,Easy Love,Itunes,2010-2020
Ricky Martin,Vente Pa' Ca,Itunes,2010-2020
The Script,The Man Who Can't Be Moved,Itunes,2010-2020
Sara Bareilles,Brave,Itunes,2010-2020
Swedish House Mafia & Tinie Tempah,Miami 2 Ibiza,Itunes,2010-2020
Alexis Jordan,Happiness,Itunes,2010-2020
Alejandro Sanz,No Me Compares,Itunes,2010-2020
Zedd,Stay the Night,Itunes,2010-2020
DJ Snake & AlunaGeorge,You Know You Like It,Itunes,2010-2020
Mumford & Sons,Little Lion Man,Itunes,2010-2020
The White Stripes,Seven Nation Army,Itunes,2010-2020
Fetty Wap,Trap Queen,Itunes,2010-2020
Katy Perry,Never Really Over,Itunes,2010-2020
Queen,We Are the Champions,Itunes,2010-2020
Far East Movement,Live My Life,Itunes,2010-2020
Don Omar,Hasta Que Salga el Sol,Itunes,2010-2020
Alok & Bruno Martini,Hear Me Now,Itunes,2010-2020
Kygo & Miguel,Remind Me to Forget,Itunes,2010-2020
Adele,Water Under the Bridge,Itunes,2010-2020
Lizzo,Truth Hurts,Itunes,2010-2020
Alvaro Soler,El Mismo Sol,Itunes,2010-2020
Maluma,Felices los 4,Itunes,2010-2020
Hurts,Wonderful Life,Itunes,2010-2020
Kanye West,All of the Lights,Itunes,2010-2020
Lenny Kravitz,The Chamber,Itunes,2010-2020
Prince Royce,Darte un Beso,Itunes,2010-2020
Ariana Grande,God is a woman,Itunes,2010-2020
Jennifer Lopez,Live It Up,Itunes,2010-2020
Future,Mask Off,Itunes,2010-2020
Taylor Swift,22,Itunes,2010-2020
Beyoncé,Sorry,Itunes,2010-2020
Christina Perri,"A Thousand Years, Pt. 2",Itunes,2010-2020
Maroon 5,She Will Be Loved,Itunes,2010-2020
One Direction,Kiss You,Itunes,2010-2020
Sia,Alive,Itunes,2010-2020
Leona Lewis,Run,Itunes,2010-2020
Ed Sheeran,South of the Border,Itunes,2010-2020
Drake,Passionfruit,Itunes,2010-2020
Muse,Uprising,Itunes,2010-2020
Tacabro,Tacatà,Itunes,2010-2020
Olly Murs,Heart Skips a Beat,Itunes,2010-2020
Dan + Shay & Justin Bieber,"10,000 Hours",Itunes,2010-2020
Robin Schulz,Speechless,Itunes,2010-2020
Sam Smith,Lay Me Down,Itunes,2010-2020
George Ezra,Blame It on Me,Itunes,2010-2020
Chris Rea,Driving Home for Christmas,Itunes,2010-2020
Bebe Rexha,Meant to Be,Itunes,2010-2020
"Ziv Zaifman, Hugh Jackman & Michelle Williams",A Million Dreams,Itunes,2010-2020
Daddy Yankee,Dura,Itunes,2010-2020
Stromae,Tous les mêmes,Itunes,2010-2020
"Alan Walker, Sabrina Carpenter & Farruko",On My Way,Itunes,2010-2020
Drake,Nice For What,Itunes,2010-2020
Kwabs,Walk,Itunes,2010-2020
Bazzi,Mine,Itunes,2010-2020
Caro Emerald,A Night Like This,Itunes,2010-2020
"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),Itunes,2010-2020
Macklemore,Glorious,Itunes,2010-2020
Ariana Grande,Focus,Itunes,2010-2020
Selena Gomez,Bad Liar,Itunes,2010-2020
Tove Lo,Stay High,Itunes,2010-2020
Lady GaGa,Yoü and I,Itunes,2010-2020
Cardi B,Bodak Yellow,Itunes,2010-2020
Nirvana,Smells Like Teen Spirit,Itunes,2010-2020
Calum Scott & Leona Lewis,You Are the Reason,Itunes,2010-2020
Avicii,You Make Me,Itunes,2010-2020
Madcon,Glow,Itunes,2010-2020
Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,Itunes,2010-2020
Empire of the Sun,We Are the People,Itunes,2010-2020
Sia,Unstoppable,Itunes,2010-2020
Calvin Harris,Bounce,Itunes,2010-2020
Grace,You Don't Own Me,Itunes,2010-2020
CNCO & Little Mix,Reggaetón Lento,Itunes,2010-2020
Ne-Yo,Beautiful Monster,Itunes,2010-2020
Becky G,Shower,Itunes,2010-2020
Zara Larsson,Uncover,Itunes,2010-2020
Sam Hunt,Take Your Time,Itunes,2010-2020
Whitney Houston,I Will Always Love You,Itunes,2010-2020
DAOKO×米津玄師,Uchiagehanabi,Itunes,2010-2020
Hebe Tien,A Little Happiness,Itunes,2010-2020
Ellie Goulding,How Long Will I Love You,Itunes,2010-2020
Omi,Hula Hoop,Itunes,2010-2020
Lady Gaga,The Cure,Itunes,2010-2020
Muse,Madness,Itunes,2010-2020
Coldplay,Yellow,Itunes,2010-2020
Madcon,Freaky Like Me,Itunes,2010-2020
Avril Lavigne,Head Above Water,Itunes,2010-2020
"David Guetta, Bebe Rexha & J Balvin",Say My Name,Itunes,2010-2020
Enrique Iglesias,I Like How It Feels,Itunes,2010-2020
Post Malone,I Fall Apart,Itunes,2010-2020
Tiësto & Dzeko,Jackie Chan,Itunes,2010-2020
AC/DC,Highway to Hell,Itunes,2010-2020
Avicii,The Days,Itunes,2010-2020
OneRepublic,Secrets,Itunes,2010-2020
Armin van Buuren,Blah Blah Blah,Itunes,2010-2020
Wisin,Adrenalina,Itunes,2010-2020
Bastille,Of the Night,Itunes,2010-2020
Andreas Bourani,Auf uns,Itunes,2010-2020
5 Seconds of Summer,She Looks So Perfect,Itunes,2010-2020
Lady Gaga,Telephone ft. Beyoncé,Itunes,2010-2020
Linkin Park,Numb,Itunes,2010-2020
Adele,Rumour Has It,Itunes,2010-2020
The Weeknd,Call Out My Name,Itunes,2010-2020
Cris Cab,Liar Liar,Itunes,2010-2020
Franco de Vita,Tan Sólo Tú,Itunes,2010-2020
Robbie Williams,Love My Life,Itunes,2010-2020
Lil Wayne,Mirror,Itunes,2010-2020
Florence + The Machine,Shake It Out,Itunes,2010-2020
One Direction,History,Itunes,2010-2020
The Black Eyed Peas,Meet Me Halfway,Itunes,2010-2020
米津玄師,LOSER,Itunes,2010-2020
Lost Frequencies & Zonderling,Crazy,Itunes,2010-2020
One Direction,Little Things,Itunes,2010-2020
Demi Lovato,Give Your Heart a Break,Itunes,2010-2020
David Guetta,Bang My Head,Itunes,2010-2020
Michael Bublé,It's a Beautiful Day,Itunes,2010-2020
M83,Midnight City,Itunes,2010-2020
Martin Garrix,Ocean,Itunes,2010-2020
Taio Cruz,Break Your Heart ft. Ludacris,Itunes,2010-2020
Auli'i Cravalho,How Far I'll Go,Itunes,2010-2020
Khalid,Talk,Itunes,2010-2020
Daft Punk,Lose Yourself to Dance,Itunes,2010-2020
Olly Murs,Dear Darlin',Itunes,2010-2020
Juice WRLD,Lucid Dreams,Itunes,2010-2020
Katy Perry,Rise,Itunes,2010-2020
"Meduza, Becky Hill & GOODBOYS",Lose Control,Itunes,2010-2020
DJ Antoine,Ma chérie,Itunes,2010-2020
Sam Smith,Money On My Mind,Itunes,2010-2020
Ke$ha,Take It Off,Itunes,2010-2020
Beyoncé,Single Ladies,Itunes,2010-2020
NEIKED,Sexual,Itunes,2010-2020
Anna Kendrick,Cups,Itunes,2010-2020
London Grammar,Strong,Itunes,2010-2020
LunchMoney Lewis,Bills,Itunes,2010-2020
The Script,For the First Time,Itunes,2010-2020
Little Mix,Black Magic,Itunes,2010-2020
Justin Timberlake,Not a Bad Thing,Itunes,2010-2020
Aerosmith,I Don't Want to Miss a Thing,Itunes,2010-2020
G-Eazy & Kehlani,Good Life,Itunes,2010-2020
ONE OK ROCK,Wherever You Are,Itunes,2010-2020
BTS,Boy With Luv,Itunes,2010-2020
XXXTENTACION,Sad,Itunes,2010-2020
Oasis,Wonderwall,Itunes,2010-2020
BLACKPINK,DDU-DU DDU-DU,Itunes,2010-2020
Queen,I Want to Break Free,Itunes,2010-2020
Phillip Phillips,Home,Itunes,2010-2020
Avril Lavigne,Here's To Never Growing Up,Itunes,2010-2020
Tyga,Taste,Itunes,2010-2020
Tracy Chapman,Fast Car,Itunes,2010-2020
Little Mix,Shout Out to My Ex,Itunes,2010-2020
Sia,Never Give Up,Itunes,2010-2020
Bon Jovi,It's My Life,Itunes,2010-2020
Fall Out Boy,My Songs Know What You Did In the Dark,Itunes,2010-2020
Lauv & Troye Sivan,i'm so tired...,Itunes,2010-2020
Dan + Shay,Tequila,Itunes,2010-2020
Marshmello,Here With Me,Itunes,2010-2020
Maître Gims,Est-ce que tu m'aimes,Itunes,2010-2020
Machine Gun Kelly & Camila Cabello,Bad Things,Itunes,2010-2020
Otto Knows,Million Voices,Itunes,2010-2020
Kesha,Praying,Itunes,2010-2020
Kygo,Stargazing,Itunes,2010-2020
"Skrillex & Damian ""Jr. Gong"" Marley",Make It Bun Dem,Itunes,2010-2020
John Lennon,Imagine,Itunes,2010-2020
Shakira,Addicted to You,Itunes,2010-2020
U2,With or Without You,Itunes,2010-2020
Calvin Harris,Let's Go,Itunes,2010-2020
MØ,Final Song,Itunes,2010-2020
Coldplay,Clocks,Itunes,2010-2020
Radiohead,Creep,Itunes,2010-2020
Cee Lo Green,Forget You,Itunes,2010-2020
Zedd,I Want You to Know,Itunes,2010-2020
Louis Tomlinson,Back to You,Itunes,2010-2020
Duffy,Mercy,Itunes,2010-2020
Rihanna,You Da One,Itunes,2010-2020
Robbie Williams & Gary Barlow,Shame,Itunes,2010-2020
Alec Benjamin,Let Me Down Slowly,Itunes,2010-2020
Flo Rida,Right Round,Itunes,2010-2020
Rudimental,Lay It All On Me,Itunes,2010-2020
Shakira,La La La,Itunes,2010-2020
Coldplay,Christmas Lights,Itunes,2010-2020
Wisin & Yandel,Follow The Leader,Itunes,2010-2020
Chino & Nacho,Andas En Mi Cabeza,Itunes,2010-2020
Brooke Fraser,Something In the Water,Itunes,2010-2020
Don Omar,Dutty Love,Itunes,2010-2020
Mariah Carey,#Beautiful,Itunes,2010-2020
Rita Ora,I Will Never Let You Down,Itunes,2010-2020
Lukas Graham,Mama Said,Itunes,2010-2020
Travis Scott,SICKO MODE,Itunes,2010-2020
Taylor Swift,Delicate,Itunes,2010-2020
Danny Ocean,Me Rehúso,Itunes,2010-2020
Martin Solveig & GTA,Intoxicated,Itunes,2010-2020
Khalid & Normani,Love Lies,Itunes,2010-2020
Kelly Clarkson,Heartbeat Song,Itunes,2010-2020
Lenka,Everything At Once,Itunes,2010-2020
Bad Bunny,MIA,Itunes,2010-2020
Enrique Iglesias,Dirty Dancer,Itunes,2010-2020
Rudimental,Waiting All Night,Itunes,2010-2020
Jeff Buckley,Hallelujah,Itunes,2010-2020
The Killers,Mr. Brightside,Itunes,2010-2020
André Hazes Jr.,Leef,Itunes,2010-2020
Mike Will Made-It,23,Itunes,2010-2020
"Kristen Bell, Agatha Lee Monn & Katie Lopez",Do You Want to Build a Snowman,Itunes,2010-2020
Keane,Somewhere Only We Know,Itunes,2010-2020
Timmy Trumpet & Savage,Freaks,Itunes,2010-2020
Kelly Clarkson,Mr. Know It All,Itunes,2010-2020
Maroon 5,Misery,Itunes,2010-2020
Zara Larsson,Ain't My Fault,Itunes,2010-2020
Train,Play That Song,Itunes,2010-2020
Family of the Year,Hero,Itunes,2010-2020
Chris Brown,Loyal,Itunes,2010-2020
Guns N' Roses,November Rain,Itunes,2010-2020
Tim Berg,Seek Bromance,Itunes,2010-2020
Eliza Doolittle,Pack Up,Itunes,2010-2020
Ed Sheeran,Cross Me,Itunes,2010-2020
Marshmello & Kane Brown,One Thing Right,Itunes,2010-2020
G.R.L.,Ugly Heart,Itunes,2010-2020
Mark Forster,Au revoir,Itunes,2010-2020
Demi Lovato,Cool for the Summer,Itunes,2010-2020
Hailee Steinfeld & BloodPop®,Capital Letters,Itunes,2010-2020
Tinie Tempah,Girls Like,Itunes,2010-2020
Marlon Roudette,When the Beat Drops Out,Itunes,2010-2020
Lloyd,Dedication to My Ex,Itunes,2010-2020
"Silk City, Dua Lipa",Electricity,Itunes,2010-2020
